genre_name,movie_count,total_popularity,total_votes
Drama,10947,151293.24642527103,6494999.0
Action,6618,117553.53658992052,6049506.0
Comedy,6291,101117.61495506763,4778470.0
Adventure,3908,80352.30714553595,5387862.0
Thriller,4110,67925.57422202826,2391337.0
Crime,5343,66686.38416439295,2685736.0
Romance,2884,43697.29022282362,1637415.0
Horror,2778,42377.66800034046,1520080.0
Sci-Fi,1778,31428.747082591057,2322886.0
Mystery,1778,26827.96499580145,1393434.0
Fantasy,1294,23925.061041772366,1700524.0
Animation,716,23469.035955548286,1224162.0
Family,1016,18147.205047249794,894994.0
Biography,893,15530.67107117176,849451.0
History,616,11726.610093176365,369573.0
War,476,7102.684058129787,234616.0
Sport,320,6727.969017505646,165130.0
Music,415,5439.528008103371,268486.0
Western,568,5046.643005907536,139437.0
Musical,301,3383.0489951968193,110024.0
Film-Noir,302,2121.8160120248795,40830.0
Reality-TV,1,6.053999900817871,131.0
Game-Show,1,2.4649999141693115,6.0
