actor_name,movie_count,avg_rating,avg_popularity
Fran Walsh,3,8.866666793823242,97.43333435058594
Japan,3,8.599999904632568,97.17633438110352
Kenny Basumatary,3,8.5,0.9780000050862631
Chinmay Mandlekar,4,8.425000190734863,2.5152499675750732
Mrinal Kulkarni,4,8.425000190734863,2.5152499675750732
Digpal Lanjekar,4,8.425000190734863,2.5152499675750732
Singeetam Srinivasa Rao,3,8.40000025431315,2.08733336130778
Vetrimaaran,6,8.375,5.314833402633667
Pravin Tarde,4,8.375,7.389500170946121
Rakshit Shetty,4,8.374999761581421,6.480250000953674
