year,movie_title,rating
1906,The Story of the Kelly Gang,6.0
1913,Fantômas - À l'ombre de la guillotine,6.9
1914,Cabiria,7.1
1915,Les vampires,7.3
1916,"20,000 Leagues Under the Sea",6.1
1918,Tarzan of the Apes,5.8
1919,Anders als die Andern,7.0
1920,The Penalty,7.4
1921,The Queen of Sheba,7.1
1922,Nosferatu,7.9
1923,Safety Last!,8.1
1924,Sherlock Jr.,8.2
1925,The Gold Rush,8.2
1926,The General,8.2
1927,Metropolis,8.3
1928,"Steamboat Bill, Jr.",7.8
1929,Piccadilly,7.1
1930,Hell's Angels,7.3
1931,City Lights,8.5
1932,I Am a Fugitive from a Chain Gang,8.2
1933,Duck Soup,7.8
1934,It Happened One Night,8.1
1935,A Tale of Two Cities,7.8
1936,Modern Times,8.5
1937,Captains Courageous,8.0
1938,The Adventures of Robin Hood,7.9
1939,Gone with the Wind,8.2
1940,The Great Dictator,8.4
1941,Citizen Kane,8.3
1942,The Ox-Bow Incident,8.0
1943,The Life and Death of Colonel Blimp,8.0
1944,Double Indemnity,8.3
1945,Brief Encounter,8.0
1946,It's a Wonderful Life,8.6
1947,Out of the Past,8.0
1948,The Treasure of the Sierra Madre,8.2
1949,The Third Man,8.1
1950,Sunset Blvd.,8.4
1951,Pathala Bhairavi,8.4
1952,Singin' in the Rain,8.3
1953,Roman Holiday,8.0
1954,Rear Window,8.5
1955,Pather Panchali,8.3
1956,War and Peace,8.3
1957,12 Angry Men,9.0
1958,Vertigo,8.3
1959,North by Northwest,8.3
1960,Psycho,8.5
1961,Judgment at Nuremberg,8.3
1962,Lawrence of Arabia,8.3
1963,8½,8.0
1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4
1965,Operatsiya 'Y' i drugie priklyucheniya Shurika,8.5
1966,Persona,8.1
1967,Cool Hand Luke,8.1
1968,Once Upon a Time in the West,8.5
1969,Goopy Gyne Bagha Byne,8.7
1970,Patton,7.9
1971,Dzhentlmeny udachi,8.4
1972,The Godfather,9.2
1973,The Sting,8.3
1974,The Godfather Part II,9.0
1975,One Flew Over the Cuckoo's Nest,8.7
1976,Taxi Driver,8.2
1977,Saban Oglu Saban,8.7
1978,The Deer Hunter,8.1
1979,Alien,8.5
1980,Zübük,8.5
1981,San Basilio,8.2
1982,The Thing,8.2
1983,Star Wars: Episode VI - Return of the Jedi,8.3
1984,Amadeus,8.4
1985,Back to the Future,8.5
1986,Aliens,8.4
1987,Nayakan,8.6
1988,Die Hard,8.2
1989,Kireedam,8.9
1990,Goodfellas,8.7
1991,The Silence of the Lambs,8.6
1992,Yoddha,8.4
1993,Schindler's List,9.0
1994,The Shawshank Redemption,9.3
1995,Se7en,8.6
1996,Kaalapani,8.5
1997,Ramayana: The Legend of Prince Rama,9.1
1998,Saving Private Ryan,8.6
1999,Fight Club,8.8
2000,Gladiator,8.5
2001,The Lord of the Rings: The Fellowship of the Ring,8.8
2002,The Lord of the Rings: The Two Towers,8.8
2003,The Lord of the Rings: The Return of the King,9.0
2004,Black Friday,8.4
2005,Anniyan,8.3
2006,The Prestige,8.5
2007,No Country for Old Men,8.2
2008,The Dark Knight,9.0
2009,Monpura,8.7
2010,Inception,8.8
2011,Kill Bill: The Whole Bloody Affair,8.8
2012,Model Minority,8.5
2013,Oldboy,8.4
2014,Interstellar,8.6
2015,Visaaranai,8.5
2016,From the End Into the Beginning,8.8
2017,Nine Seconds,9.0
2018,Pariyerum Perumal,8.7
2019,Love in Kilnerry,9.2
2020,Chal Mera Putt 2,9.0
2021,Princess Khutulun,9.3
2022,Memory Lane,9.9
2023,Goodnight Mommy,6.7
2024,Lilo & Stitch,
2025,Tron 3,
2026,Jungle Book 2,
2027,Rugrats,
2028,Avatar 5,
